mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.25,4,159,92,-216436.0045176281,-108816.39250753289,-185232.3623167709,-90145.15910427824,True,True
permutation_mix,0.25,5,159,92,-220322.78950421332,-112703.17749411806,-188713.65528384937,-91413.12472941879,True,True
permutation_mix,0.25,6,159,92,-221646.61039621365,-114026.9983861184,-189228.60499139052,-93611.8838983243,True,True
permutation_mix,0.25,7,159,92,-220986.21178263304,-113366.5997725378,-190377.61608782315,-92126.28413084047,True,True
permutation_mix,0.25,8,159,92,-211614.07334660186,-103994.4613365066,-181185.0607579921,-86126.25142165447,True,True
permutation_mix,0.25,9,159,92,-223765.5084819055,-116145.89647181027,-195904.14263802362,-96884.61214849573,True,True
permutation_mix,0.25,10,159,92,-211977.17721249379,-104357.56520239853,-183276.79005016346,-88517.93256446964,True,True
permutation_mix,0.25,11,159,92,-208928.85756160275,-101309.24555150751,-177577.8219995631,-80382.6228753766,True,True
permutation_mix,0.25,12,159,92,-216110.30436644924,-108490.692356354,-185506.32706961327,-88466.08415303021,True,True
permutation_mix,0.25,13,159,92,-216990.78314870896,-109371.17113861372,-186992.96278855373,-89246.97279571288,True,True
permutation_mix,0.25,14,159,92,-229489.93648372393,-121870.3244736287,-197714.52225835284,-99001.83667077193,True,True
permutation_mix,0.25,15,159,92,-215766.51255446117,-108146.90054436593,-184780.84437825813,-88129.65514574772,True,True
permutation_mix,0.25,16,159,92,-216828.85318416747,-109209.24117407225,-185240.1915602085,-89817.11276976649,True,True
permutation_mix,0.25,17,159,92,-220779.01074293538,-113159.39873284014,-190986.88108705892,-96252.91328493843,True,True
permutation_mix,0.25,18,159,92,-226870.3310710811,-119250.71906098587,-198059.7998119668,-101592.90454999614,True,True
permutation_mix,0.25,19,159,92,-224580.8641305686,-116961.25212047336,-192843.4438511411,-96612.36658538984,True,True
permutation_mix,0.25,20,159,92,-217824.1333815258,-110204.52137143059,-186157.28553454042,-88094.37862270036,True,True
permutation_mix,0.25,21,159,92,-217539.07978028094,-109919.4677701857,-182961.70224527342,-88529.09361327764,True,True
permutation_mix,0.25,22,159,92,-216668.52897785272,-109048.91696775748,-188342.03477661093,-88241.321552753,True,True
permutation_mix,0.25,23,159,92,-227029.64616397087,-119410.03415387565,-195932.61740207058,-98305.83195926604,True,True
permutation_mix,0.25,24,159,92,-212122.16606882354,-104502.55405872832,-179295.51323100456,-82999.08225888904,True,True
permutation_mix,0.25,25,159,92,-229545.65121197916,-121926.03920188392,-197346.9849625438,-103781.85559799863,True,True
permutation_mix,0.25,26,159,92,-215694.83983743435,-108075.2278273391,-185750.89979591008,-90352.0977738142,True,True
permutation_mix,0.25,27,159,92,-224881.55510639003,-117261.94309629481,-194166.6052358986,-96119.09977098533,True,True
permutation_mix,0.25,28,159,92,-204586.00389657464,-96966.3918864794,-172728.3683486928,-77712.20848337341,True,True
permutation_mix,0.25,29,159,92,-222365.87292267766,-114746.26091258244,-192733.6417922593,-96111.39512633313,True,True
