mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.75,7,159,92,-114705.37361844964,-7085.761608354398,-90971.5101477829,-3428.349555165831,True,True
permutation_mix,0.75,8,159,92,-115764.92240600771,-8145.310395912471,-93114.69901867701,-3927.990108934295,True,True
permutation_mix,0.75,9,159,92,-127773.74143228226,-20154.12942218702,-103542.63016570265,-12529.682714227958,True,True
permutation_mix,0.75,10,159,92,-111693.29831390837,-4073.686303813127,-87286.66971990524,-411.24783938177814,True,True
permutation_mix,0.75,11,159,92,-115543.4213400828,-7923.809329987562,-92130.90051533202,-2842.93044607237,True,True
permutation_mix,0.75,12,159,92,-119830.60746098513,-12210.995450889895,-92991.59245393967,-4348.141992928744,True,True
permutation_mix,0.75,13,159,92,-113567.67679262394,-5948.0647825287015,-91173.66239991537,-2335.955426482851,True,True
permutation_mix,0.75,14,159,92,-126466.553416151,-18846.94140605576,-100871.3551686415,-12013.145572704501,True,True
permutation_mix,0.75,15,159,92,-117319.0920187727,-9699.480008677463,-94149.02381408933,-4967.394118932454,True,True
permutation_mix,0.75,16,159,92,-113227.39295611481,-5607.780946019571,-90075.10180586681,-1473.5899824894186,True,True
permutation_mix,0.75,17,159,92,-117605.84818348073,-9986.236173385492,-95052.08459237406,-5492.616079235337,True,True
permutation_mix,0.75,18,159,92,-104939.44959871392,2680.162411381316,-83450.58917016823,5946.502094502369,True,False
permutation_mix,0.75,19,159,92,-116710.06942271668,-9090.457412621443,-95983.98306584977,-5259.588254895164,True,True
permutation_mix,0.75,20,159,92,-120903.89787324201,-13284.285863146768,-95257.7188909882,-7983.977155521909,True,True
permutation_mix,0.75,21,159,92,-118050.18963618815,-10430.577626092912,-92142.4207277256,-3665.202352826344,True,True
permutation_mix,0.75,22,159,92,-109108.16208026648,-1488.5500701712444,-86564.76699635816,2793.7413899043536,True,False
permutation_mix,0.75,23,159,92,-111290.83044038535,-3671.218430290115,-89301.43118393369,351.11349511210756,True,False
permutation_mix,0.75,24,159,92,-117013.63293349848,-9394.020923403237,-93257.43093417346,-4790.26869886007,True,True
permutation_mix,0.75,25,159,92,-120080.43411062041,-12460.822100525169,-95323.75604445317,-8968.574992133108,True,True
permutation_mix,0.75,26,159,92,-119163.9653743467,-11544.353364251467,-94835.18345122132,-4903.849361392379,True,True
permutation_mix,0.75,27,159,92,-116132.32048272897,-8512.708472633734,-92954.47478413684,-4921.448753202483,True,True
permutation_mix,0.75,28,159,92,-118863.25781041707,-11243.645800321829,-94489.51721249841,-2906.95033560909,True,True
permutation_mix,0.75,29,159,92,-127491.7641783733,-19872.15216827806,-99746.17280433497,-10707.61696896552,True,True
permutation_mix,1.0,0,159,92,-114325.86594724597,-6706.25393715073,-90332.57761873401,-2935.4827114614354,True,True
permutation_mix,1.0,1,159,92,-108006.80557347933,-387.19356338409125,-86551.47266835671,1935.4635268844656,True,False
permutation_mix,1.0,2,159,92,-112635.26363870315,-5015.651628607913,-88158.36833547772,-1787.5324619997477,True,True
permutation_mix,1.0,3,159,92,-110019.86373058072,-2400.251720485481,-89387.1061144753,110.26058685525668,True,False
permutation_mix,1.0,4,159,92,-113482.50757282515,-5862.895562729915,-90281.06287750148,-2247.476642775266,True,True
permutation_mix,1.0,5,159,92,-116752.3025883743,-9132.690578279056,-93301.40090028744,-5346.754652175613,True,True
permutation_mix,1.0,6,159,92,-113695.673632241,-6076.06162214576,-91456.93585187347,-3520.1808560661725,True,True
permutation_mix,1.0,7,159,92,-113288.25511045364,-5668.6431003584,-89364.47674341805,-3148.1483335347352,True,True
permutation_mix,1.0,8,159,92,-113669.71745763955,-6050.105447544309,-92053.68197358324,-3440.5510664470175,True,True
permutation_mix,1.0,9,159,92,-117220.57206858194,-9600.9600584867,-92773.06333303875,-3779.529398936029,True,True
permutation_mix,1.0,10,159,92,-111420.18629166376,-3800.5742815685226,-85895.87272045817,190.44616898903087,True,False
permutation_mix,1.0,11,159,92,-110986.95748979005,-3367.3454796948063,-88035.38504610228,-864.2086513025017,True,True
permutation_mix,1.0,12,159,92,-112264.08388169165,-4644.471871596412,-87505.59100586253,-1023.3870399101476,True,True
permutation_mix,1.0,13,159,92,-112298.51485495587,-4678.902844860626,-90169.20934226956,-2595.5684632197695,True,True
permutation_mix,1.0,14,159,92,-119825.75344595552,-12206.141435860278,-95672.79988555302,-7743.066753026162,True,True
permutation_mix,1.0,15,159,92,-112185.70250619669,-4566.090496101446,-90410.39520969107,-1879.5828727702603,True,True
permutation_mix,1.0,16,159,92,-111840.61897686307,-4221.006966767833,-89849.95009163057,-1482.7319825704824,True,True
permutation_mix,1.0,17,159,92,-112666.95583496673,-5047.343824871496,-90188.82134736967,-2828.1343082261737,True,True
permutation_mix,1.0,18,159,92,-101804.78314809449,5814.8288620007515,-80569.46922419102,8963.15203066479,True,False
permutation_mix,1.0,19,159,92,-115179.86345786005,-7560.251447764807,-92932.70034653178,-4203.590382402376,True,True
permutation_mix,1.0,20,159,92,-114481.71166026298,-6862.099650167744,-91519.58452502638,-4268.0575939329465,True,True
permutation_mix,1.0,21,159,92,-113856.9860046267,-6237.373994531459,-90066.2893467221,-2761.701394908117,True,True
permutation_mix,1.0,22,159,92,-111290.90801213309,-3671.2960020378523,-90419.27699542567,-700.1494866290031,True,True
permutation_mix,1.0,23,159,92,-105076.50390871649,2543.108101378748,-84748.97365168104,6302.768332401985,True,False
permutation_mix,1.0,24,159,92,-110200.53634575717,-2580.9243356619263,-88468.69985569331,-560.1500412890344,True,True
permutation_mix,1.0,25,159,92,-116033.46195402453,-8413.849943929294,-92966.90214970212,-5724.481659136367,True,True
permutation_mix,1.0,26,159,92,-110879.05376339323,-3259.441753297986,-88515.96947697278,-977.1728951057778,True,True
