arm_id,model_id,feature_family,outer_fold,rmse,mae,r2
C010,hist_gradient_boosting,full,O5,0.6032137868606456,0.4655151203242195,0.021463601375918295
C010,hist_gradient_boosting,full,O6,0.4940043728773142,0.3648805292682639,-0.26216254937715777
C010,hist_gradient_boosting,metadata_only,O1,0.4426053195018439,0.3613225160864308,-0.008321816125913317
C010,hist_gradient_boosting,metadata_only,O2,0.38370870692904707,0.31175503715130215,-0.0016225925488806414
C010,hist_gradient_boosting,metadata_only,O3,0.49300948802714656,0.3853178822870964,-0.05362350335105637
C010,hist_gradient_boosting,metadata_only,O4,0.4228595772324287,0.3435125249681197,-0.03336923665047231
C010,hist_gradient_boosting,metadata_only,O5,0.665041414190203,0.5240306747264268,-0.189410720565375
C010,hist_gradient_boosting,metadata_only,O6,0.49749150829133026,0.36896434640151504,-0.280044439831304
C010,hist_gradient_boosting,weather_only,O1,0.446672083467594,0.35198326368096583,-0.026936348425149692
C010,hist_gradient_boosting,weather_only,O2,0.37798427399928414,0.31091227656251497,0.02804028155826066
C010,hist_gradient_boosting,weather_only,O3,0.4892644963516978,0.3644321303909439,-0.03767725977211933
C010,hist_gradient_boosting,weather_only,O4,0.43726302398679,0.35200109250318007,-0.10496543740304487
C010,hist_gradient_boosting,weather_only,O5,0.607000929600377,0.47064735455241685,0.00913798715596037
C010,hist_gradient_boosting,weather_only,O6,0.49525395609147743,0.3693916492450233,-0.2685559011585559
C010,lightgbm,full,O1,0.4432907426477609,0.3507304752103715,-0.011447229328617192
C010,lightgbm,full,O2,0.37069474847610945,0.30129899286431483,0.0651677834797908
C010,lightgbm,full,O3,0.4793887776120872,0.35835408917906947,0.003790632205157851
C010,lightgbm,full,O4,0.4304794817968473,0.3476370522652877,-0.07094729553504675
C010,lightgbm,full,O5,0.6138085720022042,0.47079544416675373,-0.013212093874600983
C010,lightgbm,full,O6,0.49029342521504543,0.36772119484118954,-0.24327111012702463
C010,lightgbm,metadata_only,O1,0.44260531951702486,0.36132251591021736,-0.008321816195082432
C010,lightgbm,metadata_only,O2,0.3837087071943795,0.3117550375273831,-0.0016225939341136808
