arm_id,model_id,feature_family,outer_fold,config_id,mean_inner_rmse,worst_inner_rmse,complexity_rank
C001,extra_trees,weather_only,O1,ET_E01,0.42486114922207974,0.45656187514291163,1.0
C001,extra_trees,weather_only,O2,ET_E02,0.42727410636609076,0.4768473594043395,2.0
C001,extra_trees,weather_only,O3,ET_E02,0.3906439572494859,0.41465454584862477,2.0
C001,extra_trees,weather_only,O4,ET_E02,0.42017324378362525,0.47890827344772635,2.0
C001,extra_trees,weather_only,O5,ET_E10,0.42389044483860405,0.4767790413599011,10.0
C001,extra_trees,weather_only,O6,ET_E01,0.5015736263085452,0.5976213595672007,1.0
C001,hist_gradient_boosting,full,O1,HGB_E06,0.43722442392523914,0.47551296200736015,6.0
C001,hist_gradient_boosting,full,O2,HGB_E01,0.4500609366791048,0.5120815786307514,1.0
C001,hist_gradient_boosting,full,O3,HGB_E01,0.40154923350244887,0.4379907603347999,1.0
C001,hist_gradient_boosting,full,O4,HGB_E07,0.4271573238138009,0.48418877962114415,7.0
C001,hist_gradient_boosting,full,O5,HGB_E01,0.4234268577710936,0.47946982849137537,1.0
C001,hist_gradient_boosting,full,O6,HGB_E05,0.5037693154503825,0.5996042100177663,5.0
C001,hist_gradient_boosting,metadata_only,O1,HGB_E01,0.44932501006985187,0.5092128535057493,1.0
C001,hist_gradient_boosting,metadata_only,O2,HGB_E02,0.44729817640495334,0.5050532405505699,2.0
C001,hist_gradient_boosting,metadata_only,O3,HGB_E07,0.4068499984959806,0.4453938062218984,7.0
C001,hist_gradient_boosting,metadata_only,O4,HGB_E07,0.4407040003730735,0.4930094880471678,7.0
C001,hist_gradient_boosting,metadata_only,O5,HGB_E05,0.433192590635367,0.4930094880433918,5.0
C001,hist_gradient_boosting,metadata_only,O6,HGB_E05,0.5269701597320854,0.6650414141535939,5.0
C001,hist_gradient_boosting,weather_only,O1,HGB_E12,0.439338224063975,0.4822098740856205,12.0
C001,hist_gradient_boosting,weather_only,O2,HGB_E01,0.4509094599539745,0.5108727615081732,1.0
C001,hist_gradient_boosting,weather_only,O3,HGB_E01,0.4031598062085499,0.4373304848263011,1.0
C001,hist_gradient_boosting,weather_only,O4,HGB_E07,0.4268054419132659,0.48396825314002134,7.0
C001,hist_gradient_boosting,weather_only,O5,HGB_E01,0.42502132078130833,0.47775317893632163,1.0
C001,hist_gradient_boosting,weather_only,O6,HGB_E07,0.5063212345301925,0.6073837434702478,7.0
C001,lightgbm,full,O1,LGB_E02,0.44057861526991293,0.49065802825120125,2.0
C001,lightgbm,full,O2,LGB_E06,0.44899305138674106,0.49719129115774036,6.0
C001,lightgbm,full,O3,LGB_E01,0.4031577552241053,0.42187604882830604,1.0
C001,lightgbm,full,O4,LGB_E01,0.4254998937510666,0.48466014147764014,1.0
C001,lightgbm,full,O5,LGB_E04,0.4219359882019276,0.4793089901375089,4.0
C001,lightgbm,full,O6,LGB_E05,0.4996655200522826,0.6023979766104935,5.0
C001,lightgbm,metadata_only,O1,LGB_E09,0.44932500988157825,0.5092128528691071,9.0
C001,lightgbm,metadata_only,O2,LGB_E04,0.4472981760113752,0.5050532401969239,4.0
C001,lightgbm,metadata_only,O3,LGB_E04,0.4068499982939015,0.4453938059239943,4.0
C001,lightgbm,metadata_only,O4,LGB_E04,0.44070400029795426,0.4930094879253658,4.0
C001,lightgbm,metadata_only,O5,LGB_E04,0.4331925904269572,0.4930094879253658,4.0
C001,lightgbm,metadata_only,O6,LGB_E04,0.5269701597590472,0.6650414150407724,4.0
C001,lightgbm,weather_only,O1,LGB_E08,0.4408523078604005,0.494473354416334,8.0
C001,lightgbm,weather_only,O2,LGB_E09,0.44849238280324927,0.5086745217243644,9.0
C001,lightgbm,weather_only,O3,LGB_E01,0.40214170725347037,0.4239683553039312,1.0
C001,lightgbm,weather_only,O4,LGB_E12,0.42564682812522703,0.4804044435156336,12.0
C001,lightgbm,weather_only,O5,LGB_E02,0.4220554320671985,0.48072921070465763,2.0
C001,lightgbm,weather_only,O6,LGB_E05,0.5032613348513744,0.6049089808176907,5.0
C001,linear_shrinkage,full,O1,LIN_E01,0.42839550661750686,0.46660864614106035,1.0
C001,linear_shrinkage,full,O2,LIN_E01,0.4408650971886045,0.48761589809945066,1.0
C001,linear_shrinkage,full,O3,LIN_E11,0.4057267831436331,0.4428887789945391,11.0
C001,linear_shrinkage,full,O4,LIN_E11,0.4385187201561265,0.48837050605083143,11.0
C001,linear_shrinkage,full,O5,LIN_E12,0.4331925906580398,0.49300948829053304,12.0
C001,linear_shrinkage,full,O6,LIN_E04,0.5204052091455857,0.6446550628558004,4.0
C001,linear_shrinkage,metadata_only,O1,LIN_E01,0.44932501004953956,0.5092128533759293,1.0
C001,linear_shrinkage,metadata_only,O2,LIN_E04,0.44729817650825554,0.5050532409612738,4.0
C001,linear_shrinkage,metadata_only,O3,LIN_E01,0.4068499984404846,0.4453938058601782,1.0
