base_id,candidate_id,arm_id,model_id,signal_strength_mde,measurement_error_sd,spatial_mismatch_fraction,seed,n_test,rmse_model,rmse_metadata,rmse_zero,module_a_point_pass,module_b_point_pass,event_prevalence,event_n,event_spearman,event_topk_lift,module_e_point_pass,policy_permission,ground_truth_valid,correct_permission,correct_stop,ground_truth_used_as_model_input
b7ff8a76a5deb668eae7,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71004,66,0.5073108161059585,0.47066982673244473,0.49624087736908823,False,False,half,6,0.3714285714285715,1.8333333333333333,True,False,False,False,True,False
b7ff8a76a5deb668eae7,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71004,66,0.5073108161059585,0.47066982673244473,0.49624087736908823,False,False,quarter,3,1.0,0.0,False,False,False,False,True,False
e4823d3b8661dd012ff1,winner,C310,catboost,0.0,0.0,0.0,71005,66,0.4652479033450194,0.45647880186482587,0.4101429818426308,False,False,base,11,0.14545454545454548,0.5454545454545454,False,False,False,False,True,False
e4823d3b8661dd012ff1,winner,C310,catboost,0.0,0.0,0.0,71005,66,0.4652479033450194,0.45647880186482587,0.4101429818426308,False,False,half,6,-0.2571428571428572,0.0,False,False,False,False,True,False
e4823d3b8661dd012ff1,winner,C310,catboost,0.0,0.0,0.0,71005,66,0.4652479033450194,0.45647880186482587,0.4101429818426308,False,False,quarter,3,-0.5,0.0,False,False,False,False,True,False
93517e2ce79a52c506f0,runner_up_1,C300,catboost,0.0,0.0,0.0,71005,66,0.42219772877852685,0.41987236185091664,0.4101429818426308,False,False,base,11,0.7090909090909092,0.5454545454545454,False,False,False,False,True,False
93517e2ce79a52c506f0,runner_up_1,C300,catboost,0.0,0.0,0.0,71005,66,0.42219772877852685,0.41987236185091664,0.4101429818426308,False,False,half,6,0.2,1.8333333333333333,True,False,False,False,True,False
93517e2ce79a52c506f0,runner_up_1,C300,catboost,0.0,0.0,0.0,71005,66,0.42219772877852685,0.41987236185091664,0.4101429818426308,False,False,quarter,3,0.5,7.333333333333333,True,False,False,False,True,False
6d5104924d5dba1c3e76,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71005,66,0.43332940922293023,0.4145791599712436,0.4101429818426308,False,False,base,11,0.3090909090909091,1.6363636363636365,False,False,False,False,True,False
6d5104924d5dba1c3e76,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71005,66,0.43332940922293023,0.4145791599712436,0.4101429818426308,False,False,half,6,-0.08571428571428573,1.8333333333333333,False,False,False,False,True,False
